RC circuit simulation with RK4 :************************************************
t= 0.0	v1= 0.0	v2= 0.0
t= 66.40000000000022	v1= 0.43663096913067123	v2= 0.15757895450649734
t= 66.60000000000022	v1= 0.44222949671390777	v2= 0.16001577752445292
t= 66.80000000000022	v1= 0.447656387987641	v2= 0.16246512290840975
t= 67.00000000000023	v1= 0.4529185816308074	v2= 0.16492320271276883
t= 67.20000000000023	v1= 0.4580226727324059	v2= 0.16738651019185832
t= 67.40000000000023	v1= 0.46297493160516945	v2= 0.16985180222169308
t= 67.60000000000024	v1= 0.46778132152715135	v2= 0.1723160827693556
t= 67.80000000000024	v1= 0.4724475154732012	v2= 0.1747765873485079
t= 68.00000000000024	v1= 0.4769789118947056	v2= 0.1772307684031345
t= 68.20000000000024	v1= 0.48138064960257687	v2= 0.17967628156499804
t= 68.40000000000025	v1= 0.48565762180527994	v2= 0.1821109727334744
t= 68.60000000000025	v1= 0.48981448935067906	v2= 0.18453286592943194
t= 68.80000000000024	v1= 0.49385569321765416	v2= 0.18694015187764407
t= 69.00000000000024	v1= 0.4977854663007679	v2= 0.18933117727488336
t= 69.20000000000024	v1= 0.5016078445287521	v2= 0.19170443470334989
t= 69.40000000000025	v1= 0.5053266773552154	v2= 0.19405855315144438
t= 69.60000000000025	v1= 0.508945637657746	v2= 0.1963922891061177
t= 69.80000000000025	v1= 0.5124682310794828	v2= 0.19870451818311904
t= 70.00000000000026	v1= 0.515897804845251	v2= 0.20099422726343505
t= 70.20000000000026	v1= 0.5172721810824976	v2= 0.20324330710606556
t= 70.40000000000026	v1= 0.5147144272217153	v2= 0.20539241780247106
t= 70.60000000000026	v1= 0.50837606981287	v2= 0.207369875393655
t= 70.80000000000027	v1= 0.49840134426335475	v2= 0.20910970604076634
t= 71.00000000000027	v1= 0.4849275891314417	v2= 0.21055128303864815
t= 71.20000000000027	v1= 0.47005099305526166	v2= 0.21165618557392563
t= 71.40000000000028	v1= 0.4557761830618425	v2= 0.21243200555572814
t= 71.60000000000026	v1= 0.4420733491623166	v2= 0.21290315296785745
t= 71.80000000000027	v1= 0.42891431389825363	v2= 0.213092512193188
t= 72.00000000000027	v1= 0.4162724393076907	v2= 0.21302153293024592
t= 72.20000000000027	v1= 0.4041225392693778	v2= 0.21271031577350102
t= 72.40000000000028	v1= 0.3924407969127811	v2= 0.21217769276899878
t= 72.60000000000028	v1= 0.38120468679957076	v2= 0.2114413032387916
t= 72.80000000000028	v1= 0.3703929015994446	v2= 0.21051766515052053
t= 73.00000000000028	v1= 0.35998528299926696	v2= 0.20942224229238632
t= 73.20000000000029	v1= 0.3499627565996899	v2= 0.20816950749857585
t= 73.40000000000029	v1= 0.34030727056772897	v2= 0.20677300215592095
t= 73.60000000000029	v1= 0.3310017378272364	v2= 0.20524539220911003
t= 73.8000000000003	v1= 0.3220299815819018	v2= 0.20359852086910088
t= 74.0000000000003	v1= 0.31337668397735846	v2= 0.20184345821744884
t= 74.20000000000029	v1= 0.30502733772022633	v2= 0.19999054788802598
t= 74.40000000000029	v1= 0.2969682004825199	v2= 0.19804945099702334
